age,employment_type,monthly_income,credit_score,savings,existing_loan,loan_purpose,requested_amount,tenure_years,collateral,recommended_loan_type,approved_amount,approval_status
32,Self-Employed,25671,721,871609,No,Taxi Purchase,844517,1,No,Car,422053,Partial
50,Business,138030,553,612521,No,New Car Purchase,416134,9,No,Car,416134,Partial
36,Salaried,21334,890,1334066,No,Used Car,765807,14,Yes,Car,427220,Partial
54,Freelancer,36270,645,710085,No,Used Car,703637,13,Yes,Car,703637,Partial
34,Business,35415,689,850173,No,Used Car,461460,3,Yes,Car,461460,Approved
28,Freelancer,92711,718,1214011,Yes,Vehicle Upgrade,1675163,11,No,Car,1023824,Partial
41,Freelancer,39277,646,1264895,No,Vehicle Upgrade,1613058,5,No,Car,671595,Partial
32,Freelancer,22127,639,1371667,No,Vehicle Upgrade,1124971,12,Yes,Car,401427,Partial
23,Self-Employed,61217,763,579657,Yes,Taxi Purchase,1093827,7,Yes,Car,917684,Approved
62,Self-Employed,177574,506,1075266,No,Taxi Purchase,1133218,6,Yes,Car,1133218,Partial
46,Self-Employed,77749,528,780302,Yes,Vehicle Upgrade,1930177,3,No,Car,1361910,Partial
23,Freelancer,42772,508,373336,Yes,Used Car,835843,3,No,Car,484953,Partial
23,Salaried,27122,691,319193,Yes,Taxi Purchase,1518212,12,No,Car,283074,Partial
26,Business,54737,557,1255594,Yes,Used Car,767589,14,Yes,Car,767589,Partial
39,Business,27700,532,811522,No,Used Car,1378132,15,Yes,Car,374318,Partial
39,Salaried,84086,863,861356,Yes,Taxi Purchase,1596469,6,No,Car,1367678,Approved
26,Salaried,56608,831,443023,Yes,Vehicle Upgrade,1826067,15,Yes,Car,926431,Approved
58,Self-Employed,87953,659,574727,Yes,New Car Purchase,488654,15,No,Car,488654,Partial
48,Freelancer,24139,638,1333242,No,Taxi Purchase,1626884,9,No,Car,406766,Partial
51,Business,35440,794,964285,No,Vehicle Upgrade,976002,4,No,Car,665580,Approved
57,Salaried,57048,637,321081,No,Used Car,1707459,15,No,Car,933584,Partial
39,Self-Employed,55580,607,1254948,No,Vehicle Upgrade,1739880,6,Yes,Car,903091,Approved
58,Salaried,141556,719,1353233,Yes,Vehicle Upgrade,1268295,5,Yes,Car,1268295,Approved
32,Business,26045,672,777617,Yes,Used Car,316331,7,No,Car,29088,Rejected
50,Freelancer,29705,719,147215,Yes,Used Car,300246,15,No,Car,18666,Rejected
49,Salaried,35064,736,1187877,Yes,Used Car,1946311,2,Yes,Car,390460,Partial
51,Freelancer,84516,644,1485081,No,New Car Purchase,351950,14,No,Car,351950,Partial
60,Business,87772,523,393498,Yes,Used Car,1347607,15,No,Car,1035870,Partial
61,Freelancer,85203,657,327516,Yes,Taxi Purchase,1771947,13,Yes,Car,1679019,Partial
45,Salaried,36382,900,886943,Yes,Taxi Purchase,765149,13,No,Car,571207,Partial
57,Freelancer,41422,505,490205,Yes,Taxi Purchase,900121,3,No,Car,494165,Partial
57,Business,22682,585,852035,No,Vehicle Upgrade,1280544,14,No,Car,439789,Partial
33,Salaried,178074,526,142778,Yes,Used Car,1572775,15,No,Car,308887,Rejected
39,Self-Employed,25527,730,1181581,Yes,Vehicle Upgrade,1116240,5,No,Car,187407,Rejected
27,Business,160919,568,1095527,No,Used Car,895508,9,Yes,Car,895508,Approved
39,Self-Employed,64089,848,890288,Yes,Vehicle Upgrade,1171278,1,Yes,Car,898998,Approved
55,Salaried,24404,824,1485359,No,Vehicle Upgrade,1554890,6,No,Car,447695,Partial
59,Self-Employed,132755,686,732194,Yes,Used Car,978446,8,No,Car,978446,Approved
49,Business,82024,881,1322028,Yes,Used Car,1416311,15,No,Car,1416311,Approved
26,Business,24069,563,779297,Yes,New Car Purchase,1622742,11,No,Car,349225,Rejected
49,Salaried,61411,651,155849,Yes,Used Car,397102,9,Yes,Car,20658,Rejected
29,Self-Employed,37607,791,1032817,No,Vehicle Upgrade,399943,6,Yes,Car,399943,Approved
55,Salaried,54251,868,170634,Yes,Vehicle Upgrade,623638,9,Yes,Car,623638,Partial
25,Salaried,40620,610,846444,Yes,Vehicle Upgrade,1560186,4,Yes,Car,658446,Partial
51,Freelancer,23020,562,521783,Yes,Vehicle Upgrade,1352324,10,No,Car,185570,Rejected
28,Salaried,75019,850,1118484,No,Vehicle Upgrade,1811228,9,No,Car,1811228,Approved
57,Business,114150,715,817989,No,Vehicle Upgrade,1905044,9,No,Car,1905044,Approved
36,Freelancer,32360,540,528462,Yes,Used Car,1783739,13,Yes,Car,574392,Partial
49,Salaried,26045,663,160047,Yes,Vehicle Upgrade,495750,8,Yes,Car,117189,Rejected
39,Self-Employed,56823,769,1219991,Yes,Used Car,1578376,6,No,Car,887095,Approved
35,Salaried,28509,599,817211,No,New Car Purchase,557112,10,Yes,Car,557112,Partial
25,Self-Employed,41342,889,166178,No,Vehicle Upgrade,413334,7,Yes,Car,413334,Partial
33,Business,86727,668,776799,No,Vehicle Upgrade,1386611,7,No,Car,1221208,Partial
25,Self-Employed,66591,664,748393,No,Used Car,1594126,3,Yes,Car,1386175,Approved
48,Freelancer,46752,870,1349187,No,Used Car,410578,5,No,Car,410578,Approved
51,Salaried,20998,516,461627,Yes,Used Car,499123,12,No,Car,1988,Rejected
60,Self-Employed,23651,696,495604,Yes,New Car Purchase,455599,8,Yes,Car,424813,Partial
37,Salaried,75000,824,734745,Yes,Vehicle Upgrade,1480432,1,Yes,Car,1374829,Approved
60,Business,51188,651,977318,No,Used Car,364879,9,No,Car,364879,Partial
50,Salaried,41326,686,375638,No,Vehicle Upgrade,1783428,11,No,Car,694461,Approved
43,Business,69273,813,1173200,No,Taxi Purchase,1873200,9,No,Car,1335635,Approved
61,Salaried,62137,812,234617,No,New Car Purchase,926122,12,No,Car,926122,Partial
61,Self-Employed,68330,732,1026798,No,Used Car,1157793,2,No,Car,1157793,Partial
61,Freelancer,84599,655,370988,Yes,Vehicle Upgrade,1296101,10,Yes,Car,1296101,Partial
22,Freelancer,82098,695,966257,Yes,Used Car,988198,11,No,Car,988198,Partial
49,Freelancer,120020,643,242935,No,Vehicle Upgrade,1561420,9,No,Car,1561420,Partial
52,Salaried,108944,880,872470,Yes,Used Car,1288158,8,Yes,Car,1288158,Approved
58,Business,22312,669,995858,No,Used Car,1194814,15,No,Car,324760,Partial
47,Freelancer,24114,895,1084488,No,Vehicle Upgrade,312428,9,No,Car,312428,Approved
53,Salaried,22311,797,107663,Yes,Vehicle Upgrade,812202,1,Yes,Car,298787,Partial
60,Salaried,63324,892,210438,No,New Car Purchase,1075867,6,Yes,Car,1075867,Approved
36,Salaried,61182,799,275681,Yes,Vehicle Upgrade,1342762,6,Yes,Car,854943,Partial
43,Freelancer,34280,781,202254,No,Used Car,896221,2,Yes,Car,644654,Partial
49,Freelancer,77811,769,942024,No,Vehicle Upgrade,1528632,6,No,Car,1325811,Approved
38,Freelancer,71867,610,810666,No,Used Car,815797,5,No,Car,815797,Partial
30,Self-Employed,31163,682,743244,No,Used Car,1922870,8,No,Car,579960,Partial
59,Salaried,47509,900,1232391,Yes,New Car Purchase,1515986,9,Yes,Car,877323,Approved
48,Salaried,81519,603,1161579,No,Used Car,1697550,12,No,Car,1221004,Partial
43,Business,43056,532,1353158,No,Taxi Purchase,393740,6,Yes,Car,393740,Partial
31,Business,33949,730,1142546,No,Used Car,1642581,3,Yes,Car,731772,Approved
59,Salaried,179197,728,1249583,No,New Car Purchase,623350,8,No,Car,623350,Approved
57,Business,45569,602,1456600,Yes,New Car Purchase,320100,4,No,Car,320100,Partial
52,Business,54140,703,398034,No,Taxi Purchase,864061,12,Yes,Car,864061,Approved
42,Business,59119,622,928751,Yes,Used Car,431777,14,No,Car,431777,Partial
35,Freelancer,86290,739,1218982,No,Taxi Purchase,545976,12,Yes,Car,545976,Approved
46,Self-Employed,29207,720,412017,No,Vehicle Upgrade,1687777,13,No,Car,514821,Partial
23,Freelancer,43170,852,229079,Yes,Vehicle Upgrade,1204233,11,No,Car,519953,Partial
30,Self-Employed,46543,565,1393285,Yes,Used Car,1525377,4,Yes,Car,673663,Partial
26,Business,27078,759,1302175,No,Vehicle Upgrade,653266,1,Yes,Car,574308,Partial
35,Salaried,42824,695,835849,Yes,Vehicle Upgrade,1962010,13,Yes,Car,747862,Partial
33,Self-Employed,25117,519,890229,No,New Car Purchase,1500258,6,Yes,Car,427348,Partial
40,Business,60932,620,283533,No,Used Car,1201333,15,No,Car,75232,Rejected
56,Freelancer,46432,849,73414,No,New Car Purchase,1146945,1,Yes,Car,1124664,Partial
26,Self-Employed,24896,852,306172,No,Used Car,971785,4,Yes,Car,582135,Approved
59,Self-Employed,23134,519,200381,Yes,Used Car,1354315,1,No,Car,101525,Rejected
56,Freelancer,54020,509,808171,No,Used Car,633336,14,No,Car,633336,Partial
34,Self-Employed,143000,819,816053,Yes,Taxi Purchase,923506,2,Yes,Car,923506,Approved
25,Self-Employed,40906,662,1398180,No,New Car Purchase,1495443,1,Yes,Car,759680,Partial
46,Business,38986,509,336012,No,New Car Purchase,897564,15,No,Car,608592,Partial
40,Freelancer,35030,857,474932,Yes,New Car Purchase,1603617,3,No,Car,682920,Partial
44,Salaried,47651,836,613081,No,Taxi Purchase,687457,2,No,Car,687457,Approved
27,Salaried,33737,856,829009,No,Vehicle Upgrade,1144233,13,No,Car,757655,Partial
34,Salaried,30464,617,871551,No,Vehicle Upgrade,861523,6,No,Car,583956,Partial
22,Self-Employed,171521,573,969444,Yes,Vehicle Upgrade,1428520,1,Yes,Car,1428520,Approved
37,Business,46006,887,894954,No,New Car Purchase,1613986,5,Yes,Car,1259692,Approved
25,Business,22285,632,917377,No,Taxi Purchase,1911195,2,Yes,Car,377195,Partial
51,Business,42156,500,1456498,Yes,New Car Purchase,760462,11,Yes,Car,533240,Partial
35,Freelancer,34497,675,440617,No,Used Car,1361492,11,Yes,Car,501186,Partial
46,Salaried,86512,790,196543,No,New Car Purchase,564828,15,Yes,Car,564828,Approved
41,Business,49702,732,1421008,Yes,Used Car,1574632,15,No,Car,538290,Partial
56,Business,54316,736,1247378,No,New Car Purchase,443239,5,No,Car,443239,Partial
27,Self-Employed,62027,623,138626,No,Vehicle Upgrade,333743,2,No,Car,333743,Partial
47,Freelancer,41631,754,921608,No,Vehicle Upgrade,980432,14,Yes,Car,697643,Approved
31,Freelancer,71660,742,180610,Yes,New Car Purchase,1444445,7,Yes,Car,1027363,Partial
32,Freelancer,23740,787,74068,Yes,Used Car,802779,7,Yes,Car,323167,Partial
51,Self-Employed,42962,835,817773,No,New Car Purchase,632110,11,No,Car,632110,Approved
51,Salaried,67614,727,87047,Yes,New Car Purchase,1627409,11,Yes,Car,1226936,Partial
42,Business,35921,721,226523,No,Taxi Purchase,1918977,14,Yes,Car,757741,Partial
37,Self-Employed,28082,897,427400,No,Taxi Purchase,1706451,10,No,Car,514639,Partial
57,Business,97912,684,1357768,Yes,Vehicle Upgrade,613204,5,No,Car,613204,Partial
40,Freelancer,67567,679,112593,Yes,Used Car,1876919,4,Yes,Car,1263066,Partial
45,Freelancer,59859,662,674762,No,New Car Purchase,1003622,15,Yes,Car,1003622,Approved
39,Freelancer,102919,586,619729,Yes,Vehicle Upgrade,1685593,3,Yes,Car,1330176,Partial
24,Freelancer,22902,525,1295278,Yes,Vehicle Upgrade,605153,14,No,Car,35668,Rejected
33,Freelancer,49245,855,1489770,Yes,New Car Purchase,1512774,15,No,Car,729913,Approved
60,Freelancer,36378,537,569849,No,Taxi Purchase,950381,12,Yes,Car,716268,Partial
35,Freelancer,30555,713,1435041,No,Taxi Purchase,450982,3,No,Car,450982,Partial
40,Business,30130,552,1386198,Yes,New Car Purchase,623856,11,No,Car,31003,Rejected
46,Self-Employed,23791,840,399257,Yes,Taxi Purchase,1267788,6,Yes,Car,467938,Partial
48,Business,150332,716,1048923,Yes,New Car Purchase,1435009,8,No,Car,1435009,Partial
29,Business,46484,702,390892,Yes,Taxi Purchase,379407,5,No,Car,379407,Partial
53,Freelancer,34711,803,468937,No,New Car Purchase,1251964,14,Yes,Car,643019,Approved
26,Self-Employed,91736,540,810921,No,Used Car,1813935,9,No,Car,1677843,Partial
51,Salaried,109130,664,845588,Yes,Vehicle Upgrade,860403,10,No,Car,860403,Partial
46,Self-Employed,44551,823,1322502,No,Taxi Purchase,405358,8,Yes,Car,405358,Approved
37,Salaried,26816,740,135262,Yes,New Car Purchase,1413331,4,No,Car,158018,Rejected
35,Business,32394,570,1397831,Yes,New Car Purchase,1889203,15,No,Car,229488,Rejected
35,Self-Employed,54848,694,589219,Yes,Vehicle Upgrade,351183,1,Yes,Car,351183,Approved
57,Salaried,40668,605,909836,Yes,Vehicle Upgrade,1717404,13,No,Car,283623,Rejected
40,Self-Employed,86150,526,643898,Yes,Used Car,1428066,15,Yes,Car,1308578,Partial
58,Salaried,36553,569,57642,Yes,Taxi Purchase,802920,8,Yes,Car,512924,Partial
53,Freelancer,61421,545,772200,Yes,Vehicle Upgrade,505349,5,No,Car,505349,Partial
52,Salaried,29127,675,1072058,Yes,Vehicle Upgrade,653547,15,Yes,Car,356720,Partial
32,Self-Employed,64144,635,570259,Yes,Taxi Purchase,1446751,5,No,Car,969146,Partial
32,Business,83173,722,609905,No,Taxi Purchase,1862426,3,Yes,Car,1474804,Approved
45,Salaried,36091,879,1211870,Yes,New Car Purchase,916539,13,No,Car,604414,Partial
30,Business,58830,797,338847,No,New Car Purchase,1729011,15,Yes,Car,1323506,Approved
51,Freelancer,21436,826,411370,No,Taxi Purchase,364223,12,No,Car,364223,Partial
42,Freelancer,39088,840,1477314,No,Vehicle Upgrade,1804192,10,No,Car,734055,Approved
42,Business,89835,844,407529,Yes,Vehicle Upgrade,865285,15,Yes,Car,865285,Approved
42,Freelancer,81131,623,1060575,Yes,Taxi Purchase,510932,5,No,Car,510932,Partial
34,Freelancer,45898,690,1103746,Yes,Used Car,1551350,2,Yes,Car,682989,Approved
53,Freelancer,41461,537,1205354,Yes,Vehicle Upgrade,1225371,4,Yes,Car,538413,Partial
51,Salaried,74546,845,204805,Yes,Taxi Purchase,1186891,5,No,Car,1186891,Partial
25,Freelancer,164597,876,724457,No,Used Car,1876008,14,No,Car,1876008,Approved
30,Business,26516,551,605142,Yes,New Car Purchase,624295,5,Yes,Car,363304,Partial
31,Business,28414,631,1492822,Yes,Vehicle Upgrade,1155952,10,No,Car,56424,Rejected
37,Freelancer,127595,876,547900,Yes,New Car Purchase,620613,13,No,Car,620613,Approved
44,Salaried,23208,765,815645,Yes,Vehicle Upgrade,347381,9,Yes,Car,347381,Approved
48,Self-Employed,39518,619,331059,No,New Car Purchase,1233326,14,No,Car,626843,Partial
34,Self-Employed,48628,676,526425,No,Taxi Purchase,1258116,7,Yes,Car,1004697,Approved
37,Self-Employed,31832,758,1384846,No,Taxi Purchase,1058028,2,Yes,Car,588421,Partial
57,Self-Employed,162111,686,1276364,Yes,Vehicle Upgrade,1657618,8,No,Car,1657618,Partial
38,Self-Employed,20513,660,234912,Yes,Taxi Purchase,1796293,4,No,Car,278005,Rejected
57,Freelancer,134385,726,99036,Yes,Used Car,550715,2,Yes,Car,550715,Partial
49,Salaried,45958,724,1391744,Yes,Used Car,688444,4,No,Car,621949,Partial
54,Business,35442,667,1355932,No,Vehicle Upgrade,1402653,12,No,Car,659624,Partial
35,Freelancer,20652,561,512374,No,Used Car,1194626,11,No,Car,294136,Rejected
40,Freelancer,44650,720,637573,No,Vehicle Upgrade,1909719,4,Yes,Car,855782,Approved
52,Business,24233,636,197515,Yes,New Car Purchase,699391,15,Yes,Car,15742,Rejected
26,Salaried,32099,581,292306,No,New Car Purchase,1862911,12,Yes,Car,408173,Rejected
40,Salaried,43734,691,1431829,No,Vehicle Upgrade,1709469,12,Yes,Car,945782,Approved
27,Salaried,66564,660,1029242,Yes,Vehicle Upgrade,507569,3,Yes,Car,507569,Approved
46,Self-Employed,49891,884,1131880,No,Used Car,1483991,8,Yes,Car,886786,Approved
52,Freelancer,88136,845,968538,Yes,Used Car,349242,9,No,Car,349242,Partial
54,Freelancer,122880,650,152908,Yes,Vehicle Upgrade,1132902,4,No,Car,1132902,Partial
24,Self-Employed,47781,702,1227772,No,Used Car,1806552,14,Yes,Car,825331,Approved
23,Freelancer,53619,614,1293212,Yes,Used Car,1414780,1,Yes,Car,891855,Partial
39,Freelancer,71211,522,239232,Yes,New Car Purchase,1189486,8,Yes,Car,1189486,Partial
40,Self-Employed,50654,523,726376,No,New Car Purchase,1203526,4,No,Car,801679,Partial
55,Business,111426,564,1467751,No,New Car Purchase,772215,13,Yes,Car,772215,Approved
41,Self-Employed,70843,664,1183457,No,Used Car,1116790,14,Yes,Car,1116790,Approved
44,Salaried,69777,576,1201473,Yes,Vehicle Upgrade,1958674,12,No,Car,1035205,Partial
43,Self-Employed,23255,791,781469,Yes,New Car Purchase,914720,13,No,Car,286456,Partial
42,Self-Employed,53954,604,278922,Yes,Taxi Purchase,727939,4,No,Car,66401,Rejected
22,Self-Employed,101073,774,180516,No,Vehicle Upgrade,1021353,14,No,Car,1021353,Partial
48,Salaried,20115,786,1410854,Yes,Used Car,347442,11,Yes,Car,256381,Approved
58,Self-Employed,38137,551,31942,No,Used Car,1885443,9,No,Car,355115,Rejected
34,Business,42326,550,56586,No,Taxi Purchase,550954,11,No,Car,550954,Partial
34,Salaried,57244,511,594607,No,New Car Purchase,1328099,6,No,Car,750901,Partial
61,Business,149310,751,1411102,No,Vehicle Upgrade,861269,13,No,Car,861269,Approved
35,Freelancer,46833,671,525929,No,Vehicle Upgrade,1777987,2,Yes,Car,812943,Partial
27,Self-Employed,60243,737,1485373,Yes,New Car Purchase,1782097,9,Yes,Car,693012,Approved
36,Self-Employed,29109,859,111584,Yes,Taxi Purchase,343730,5,Yes,Car,343730,Partial
24,Salaried,75921,704,622497,Yes,Used Car,602837,8,No,Car,602837,Partial
33,Self-Employed,46435,637,1000315,Yes,Vehicle Upgrade,341708,6,Yes,Car,341708,Partial
38,Self-Employed,33058,647,1315000,No,Vehicle Upgrade,624688,11,Yes,Car,624688,Partial
62,Self-Employed,65952,900,1350150,No,Vehicle Upgrade,601806,6,No,Car,601806,Approved
24,Salaried,68017,698,399064,No,New Car Purchase,754304,11,No,Car,754304,Approved
50,Business,70622,695,852404,Yes,Vehicle Upgrade,450758,7,Yes,Car,450758,Approved
28,Salaried,127549,542,635277,No,Vehicle Upgrade,1262148,6,No,Car,1262148,Partial
53,Self-Employed,35794,669,676463,Yes,New Car Purchase,415501,10,Yes,Car,415501,Partial
52,Self-Employed,40490,585,1060467,Yes,Used Car,1040628,12,Yes,Car,540031,Partial
38,Self-Employed,79845,843,937773,Yes,Vehicle Upgrade,826697,13,Yes,Car,826697,Approved
31,Self-Employed,165811,823,1130358,No,Taxi Purchase,950378,11,Yes,Car,950378,Approved
62,Freelancer,38616,863,36622,No,Vehicle Upgrade,457625,11,Yes,Car,457625,Partial
34,Salaried,61486,659,826131,Yes,New Car Purchase,1869511,7,No,Car,875200,Partial
50,Freelancer,27431,695,1117621,No,Vehicle Upgrade,846983,13,No,Car,569351,Partial
24,Freelancer,26221,815,1067771,Yes,Used Car,508793,3,Yes,Car,332323,Partial
50,Business,32998,504,272212,No,New Car Purchase,943881,3,Yes,Car,127166,Rejected
45,Self-Employed,47680,670,978606,Yes,New Car Purchase,1939997,3,Yes,Car,693619,Partial
24,Business,35386,727,618495,No,Used Car,1381413,9,No,Car,498337,Partial
51,Self-Employed,80212,804,1110496,Yes,Used Car,1437363,13,Yes,Car,1257860,Approved
34,Business,93736,725,600375,Yes,Used Car,378286,10,Yes,Car,378286,Partial
51,Freelancer,88211,855,673834,Yes,Vehicle Upgrade,704037,14,No,Car,704037,Partial
58,Freelancer,45067,892,599027,Yes,Used Car,1713594,9,Yes,Car,759343,Approved
50,Salaried,44123,732,385546,No,Used Car,1782394,2,No,Car,799914,Partial
57,Salaried,45477,586,882538,No,Vehicle Upgrade,625365,9,No,Car,625365,Partial
58,Business,100566,709,1176189,No,Used Car,647159,10,Yes,Car,647159,Approved
49,Business,55791,527,1187810,No,New Car Purchase,1496539,4,No,Car,848545,Partial
47,Freelancer,32181,657,781656,No,New Car Purchase,622582,14,Yes,Car,622582,Partial
30,Self-Employed,39941,659,517306,Yes,Used Car,449392,9,Yes,Car,449392,Partial
38,Business,30408,812,1279309,Yes,New Car Purchase,945712,12,No,Car,608316,Partial
29,Self-Employed,175028,851,1258293,No,Used Car,677117,7,Yes,Car,677117,Approved
58,Self-Employed,21902,535,203209,No,New Car Purchase,1933618,4,No,Car,53618,Rejected
33,Business,50801,782,502029,No,Taxi Purchase,1918022,3,Yes,Car,1137851,Approved
30,Salaried,44202,708,97274,No,Taxi Purchase,1012770,9,No,Car,599677,Partial
32,Self-Employed,68981,883,383010,No,Vehicle Upgrade,1871701,3,No,Car,1140633,Approved
24,Salaried,69541,649,466498,No,Used Car,714157,11,No,Car,714157,Approved
47,Self-Employed,49122,520,1305622,Yes,Vehicle Upgrade,1050826,6,Yes,Car,788654,Partial
58,Business,40512,705,906935,No,Used Car,1115519,1,No,Car,695002,Partial
44,Self-Employed,120071,672,1290782,Yes,Taxi Purchase,966911,4,Yes,Car,966911,Partial
35,Salaried,35025,502,851791,No,Taxi Purchase,452867,13,No,Car,452867,Partial
