age,employment_type,monthly_income,credit_score,savings,existing_loan,loan_purpose,requested_amount,tenure_years,collateral,recommended_loan_type,approved_amount,approval_status
51,Self-Employed,35083,706,497302,Yes,Emergency,394207,1,Yes,Personal,394207,Partial
38,Student,63097,858,714471,Yes,Wedding,658792,4,No,Personal,658792,Approved
43,Student,36758,573,418624,No,Medical,595175,2,No,Personal,87062,Rejected
42,Student,54084,797,1083512,No,Travel,471947,22,No,Personal,471947,Approved
45,Self-Employed,59862,707,20851,No,Emergency,658158,10,Yes,Personal,658158,Partial
34,Business,76085,889,197829,No,Medical,296277,17,No,Personal,296277,Partial
22,Salaried,35569,739,975076,No,Emergency,568392,21,Yes,Personal,568392,Partial
21,Salaried,57171,589,1106236,No,Medical,528634,2,Yes,Personal,528634,Approved
56,Student,138009,850,914940,No,Emergency,321782,6,No,Personal,321782,Approved
54,Business,58999,692,619215,Yes,Travel,616390,9,No,Personal,90957,Rejected
30,Self-Employed,33356,660,891941,Yes,Emergency,662451,7,No,Personal,99714,Rejected
51,Salaried,119140,828,1148730,Yes,Travel,507007,16,Yes,Personal,507007,Approved
46,Self-Employed,54183,857,76552,No,Medical,723971,19,Yes,Personal,723971,Approved
24,Student,26935,644,815085,No,Travel,135884,25,No,Personal,135884,Partial
43,Self-Employed,75600,731,85074,Yes,Shopping,209784,7,Yes,Personal,209784,Partial
57,Self-Employed,28396,763,260192,Yes,Shopping,76925,10,Yes,Personal,76925,Approved
45,Business,105996,588,529292,Yes,Shopping,176935,23,No,Personal,24285,Rejected
25,Student,33764,748,929164,No,Wedding,506641,21,No,Personal,35400,Rejected
60,Business,47057,789,695921,Yes,Emergency,305709,3,No,Personal,305709,Approved
42,Salaried,30650,527,764121,No,Shopping,785244,11,No,Personal,50084,Rejected
26,Self-Employed,66010,631,1018439,No,Medical,358528,15,Yes,Personal,358528,Approved
58,Student,37397,696,1174248,No,Travel,371517,12,No,Personal,41359,Rejected
28,Self-Employed,44202,693,1120243,No,Travel,288533,4,Yes,Personal,288533,Partial
55,Self-Employed,21786,690,284827,No,Shopping,348151,4,Yes,Personal,348151,Partial
24,Student,142617,508,860344,No,Wedding,206445,3,Yes,Personal,206445,Approved
56,Business,75911,854,817710,No,Shopping,499660,15,No,Personal,499660,Approved
27,Self-Employed,58672,761,523033,Yes,Wedding,52805,18,Yes,Personal,52805,Approved
39,Salaried,43165,711,972172,Yes,Travel,705420,22,Yes,Personal,678189,Partial
30,Student,52340,539,625260,No,Travel,783723,4,No,Personal,783723,Partial
52,Business,21306,803,545059,Yes,Shopping,665643,3,Yes,Personal,510142,Partial
38,Salaried,55741,684,947422,No,Emergency,145674,6,No,Personal,145674,Partial
27,Self-Employed,42730,685,859809,Yes,Travel,314659,15,Yes,Personal,314659,Partial
53,Salaried,67780,607,413389,No,Emergency,104118,20,No,Personal,104118,Partial
39,Business,65884,580,521843,Yes,Shopping,477809,10,Yes,Personal,477809,Partial
28,Business,100182,692,632078,No,Emergency,305570,14,No,Personal,305570,Partial
59,Self-Employed,59053,827,732770,No,Travel,665448,1,No,Personal,665448,Approved
51,Student,44997,659,694816,Yes,Shopping,451574,23,Yes,Personal,451574,Partial
41,Business,76589,685,338987,No,Shopping,668849,2,Yes,Personal,668849,Approved
49,Salaried,34972,518,879787,Yes,Travel,405007,3,No,Personal,69942,Rejected
45,Student,79080,859,95285,Yes,Wedding,144769,8,No,Personal,144769,Partial
27,Business,29812,732,700262,Yes,Travel,501607,10,No,Personal,89364,Rejected
32,Self-Employed,39971,879,525056,No,Wedding,533550,19,Yes,Personal,533550,Approved
50,Student,55177,544,647371,No,Emergency,366797,23,No,Personal,366797,Partial
27,Self-Employed,31762,690,639143,Yes,Travel,58491,22,No,Personal,4689,Rejected
35,Student,26230,894,306846,Yes,Travel,512236,21,Yes,Personal,512236,Partial
26,Student,33615,516,1151220,No,Wedding,319452,17,No,Personal,319452,Partial
42,Salaried,22467,528,853432,No,Medical,327304,3,No,Personal,44062,Rejected
37,Business,62173,529,1008758,Yes,Shopping,282120,20,No,Personal,45945,Rejected
40,Business,21485,798,1053108,Yes,Shopping,192254,4,Yes,Personal,192254,Approved
55,Business,43809,553,227663,No,Travel,84305,20,No,Personal,7736,Rejected
44,Salaried,128148,683,772193,Yes,Wedding,178093,13,No,Personal,178093,Partial
59,Salaried,30928,617,450347,Yes,Shopping,276441,25,Yes,Personal,276441,Partial
59,Salaried,24741,859,545659,Yes,Wedding,65582,4,Yes,Personal,65582,Approved
41,Salaried,21717,553,1123281,Yes,Emergency,520050,24,Yes,Personal,307412,Partial
53,Self-Employed,85684,889,1113562,No,Medical,552248,15,Yes,Personal,552248,Approved
49,Salaried,60555,737,284642,No,Emergency,676410,20,No,Personal,676410,Partial
27,Salaried,71330,862,470936,No,Emergency,405395,15,Yes,Personal,405395,Approved
41,Business,28352,620,1014611,Yes,Medical,502855,3,Yes,Personal,17054,Rejected
56,Salaried,38402,686,276337,No,Medical,351601,12,No,Personal,27884,Rejected
30,Business,23546,672,790831,Yes,Shopping,287144,25,No,Personal,53636,Rejected
60,Salaried,71556,789,80719,Yes,Travel,418074,9,No,Personal,418074,Partial
46,Salaried,40747,744,1132502,Yes,Emergency,407455,13,No,Personal,74395,Rejected
59,Salaried,55099,579,124359,Yes,Emergency,559253,9,No,Personal,67154,Rejected
28,Student,29281,872,1040542,No,Emergency,678437,2,Yes,Personal,572052,Approved
34,Self-Employed,59485,601,1063092,No,Emergency,608453,6,Yes,Personal,608453,Approved
43,Salaried,44315,502,984174,Yes,Shopping,474068,11,No,Personal,42568,Rejected
31,Business,61858,513,530271,No,Shopping,132467,19,No,Personal,132467,Partial
35,Student,52503,615,1132758,Yes,Travel,726796,25,No,Personal,586227,Partial
33,Self-Employed,74911,740,391502,No,Shopping,724225,15,No,Personal,724225,Partial
30,Business,34490,791,137801,No,Travel,534172,17,Yes,Personal,534172,Approved
39,Salaried,78027,576,1083398,No,Emergency,649425,15,Yes,Personal,649425,Approved
30,Salaried,46573,808,196851,Yes,Emergency,510767,2,Yes,Personal,510767,Approved
45,Business,72247,702,721810,Yes,Shopping,761332,11,Yes,Personal,761332,Approved
59,Self-Employed,39095,810,670603,No,Travel,636072,5,Yes,Personal,636072,Approved
29,Salaried,63875,603,780422,No,Travel,559892,6,Yes,Personal,559892,Approved
25,Student,53315,670,1124216,Yes,Shopping,187414,22,No,Personal,187414,Partial
60,Self-Employed,51432,687,518136,No,Emergency,295369,20,No,Personal,295369,Partial
51,Self-Employed,38691,839,610918,No,Wedding,259398,17,No,Personal,259398,Partial
51,Student,23361,853,281468,No,Travel,521145,3,Yes,Personal,521145,Approved
35,Business,50874,651,1072785,No,Medical,443124,8,No,Personal,443124,Partial
42,Self-Employed,29400,841,311069,No,Medical,69927,15,Yes,Personal,69927,Approved
59,Business,29440,616,120137,Yes,Medical,166242,14,No,Personal,15855,Rejected
30,Student,40146,674,893605,Yes,Shopping,428120,22,Yes,Personal,66535,Rejected
56,Salaried,35405,549,802871,No,Travel,120841,24,Yes,Personal,120841,Partial
27,Student,31544,705,387188,No,Wedding,191403,23,No,Personal,2423,Rejected
39,Self-Employed,26536,801,670276,No,Travel,88399,18,No,Personal,88399,Partial
24,Student,46192,714,858906,No,Wedding,570306,13,No,Personal,570306,Partial
38,Salaried,52587,706,398444,No,Medical,393848,11,Yes,Personal,393848,Approved
48,Self-Employed,61520,694,759370,No,Medical,753787,9,Yes,Personal,753787,Approved
31,Salaried,39908,833,92978,Yes,Travel,429742,3,Yes,Personal,429742,Partial
30,Business,128761,610,308767,No,Travel,311736,13,No,Personal,311736,Partial
54,Business,95436,634,955902,Yes,Emergency,259902,20,No,Personal,11315,Rejected
49,Salaried,77707,891,748603,Yes,Travel,215156,18,No,Personal,215156,Approved
28,Self-Employed,57758,727,776854,No,Shopping,140403,15,Yes,Personal,140403,Partial
51,Business,76980,617,684855,Yes,Shopping,411249,15,No,Personal,411249,Partial
58,Self-Employed,54229,717,136209,Yes,Travel,222655,17,Yes,Personal,222655,Partial
43,Student,58212,570,595565,Yes,Shopping,609392,21,No,Personal,76106,Rejected
30,Self-Employed,73614,807,106390,Yes,Shopping,327511,3,Yes,Personal,327511,Approved
22,Business,67878,639,1032808,Yes,Travel,525575,22,No,Personal,54476,Rejected
51,Business,39879,591,689655,No,Travel,589995,13,Yes,Personal,589995,Partial
38,Business,23172,549,896892,Yes,Shopping,377905,6,No,Personal,67466,Rejected
50,Business,66298,550,1079993,No,Shopping,420037,8,Yes,Personal,420037,Partial
51,Student,47760,517,574639,No,Travel,97440,25,No,Personal,97440,Partial
44,Student,36523,671,606616,Yes,Emergency,441326,5,Yes,Personal,441326,Partial
30,Self-Employed,63153,606,101608,Yes,Emergency,594559,23,No,Personal,18321,Rejected
41,Student,40201,797,725426,No,Emergency,67445,23,No,Personal,67445,Partial
47,Student,73768,882,75883,No,Medical,661868,9,Yes,Personal,661868,Approved
60,Business,42306,674,250467,Yes,Travel,489122,1,No,Personal,65774,Rejected
60,Business,74112,756,1107757,Yes,Emergency,601002,18,No,Personal,601002,Approved
55,Student,42146,895,574407,No,Travel,635196,7,Yes,Personal,635196,Approved
40,Student,72618,802,1026220,No,Travel,177794,18,No,Personal,177794,Approved
43,Self-Employed,29425,741,746376,No,Emergency,274381,21,No,Personal,36832,Rejected
38,Self-Employed,44277,632,126462,Yes,Medical,155065,21,Yes,Personal,22321,Rejected
29,Salaried,100702,720,1017614,No,Travel,386768,21,Yes,Personal,386768,Approved
26,Self-Employed,43695,730,387137,No,Emergency,569447,6,Yes,Personal,569447,Partial
39,Salaried,38610,806,616769,No,Wedding,578705,21,No,Personal,578705,Approved
42,Self-Employed,71244,624,49536,No,Wedding,690632,10,Yes,Personal,690632,Partial
26,Business,56055,843,698641,Yes,Emergency,296961,1,No,Personal,296961,Approved
40,Salaried,31781,736,267935,No,Emergency,769400,10,Yes,Personal,754986,Partial
39,Student,57181,843,341253,No,Emergency,786038,24,No,Personal,786038,Approved
34,Self-Employed,69524,741,1122067,No,Medical,641573,17,No,Personal,641573,Partial
53,Self-Employed,24910,566,946606,Yes,Shopping,562573,22,Yes,Personal,7292,Rejected
50,Self-Employed,34968,672,989677,No,Emergency,316817,24,Yes,Personal,316817,Partial
23,Business,22089,608,164743,No,Emergency,238724,2,No,Personal,42328,Rejected
47,Student,130133,718,811667,No,Travel,174395,3,Yes,Personal,174395,Approved
29,Self-Employed,74779,538,990989,No,Wedding,309535,18,No,Personal,309535,Partial
28,Salaried,63738,725,524713,Yes,Shopping,85207,3,Yes,Personal,85207,Approved
24,Self-Employed,63182,670,475646,Yes,Wedding,654095,5,No,Personal,654095,Partial
41,Self-Employed,24694,854,483560,No,Medical,633761,10,No,Personal,561797,Partial
52,Salaried,129959,802,893096,No,Emergency,242811,5,No,Personal,242811,Approved
30,Business,134091,863,1131473,Yes,Travel,263214,13,Yes,Personal,263214,Approved
44,Salaried,47177,534,810978,Yes,Shopping,754066,3,Yes,Personal,754066,Partial
42,Student,82010,625,266029,No,Emergency,300956,8,Yes,Personal,300956,Approved
55,Student,31784,664,997281,Yes,Travel,262994,24,No,Personal,14501,Rejected
30,Salaried,39137,654,639063,Yes,Wedding,448290,7,No,Personal,44245,Rejected
37,Business,144304,694,758566,Yes,Wedding,618471,5,No,Personal,9742,Rejected
24,Salaried,47608,738,336732,Yes,Travel,113386,7,No,Personal,113386,Partial
55,Business,37347,858,621229,Yes,Wedding,162214,17,No,Personal,162214,Partial
60,Student,58760,741,802345,No,Wedding,364546,15,Yes,Personal,364546,Partial
23,Salaried,32359,608,39818,Yes,Emergency,726234,3,No,Personal,24998,Rejected
54,Salaried,49532,866,1017196,No,Travel,619408,2,Yes,Personal,619408,Approved
22,Self-Employed,44649,822,181349,No,Shopping,458060,6,Yes,Personal,458060,Partial
26,Student,34322,610,734274,No,Medical,714926,25,No,Personal,59805,Rejected
43,Business,42272,649,199713,No,Medical,330989,8,Yes,Personal,20221,Rejected
45,Student,22998,539,952678,No,Medical,188943,25,No,Personal,36355,Rejected
53,Business,22936,612,700379,No,Emergency,456637,1,No,Personal,31816,Rejected
57,Self-Employed,55555,538,582889,No,Wedding,505791,5,Yes,Personal,505791,Approved
25,Student,28080,847,430094,No,Travel,57096,4,Yes,Personal,57096,Approved
42,Business,46721,887,305473,No,Emergency,379445,11,Yes,Personal,379445,Approved
39,Business,111776,636,844044,No,Shopping,622133,4,Yes,Personal,622133,Approved
50,Self-Employed,29546,738,878032,No,Wedding,314955,5,No,Personal,4847,Rejected
49,Business,37510,718,897240,Yes,Medical,310289,12,Yes,Personal,310289,Partial
57,Business,123464,831,242181,Yes,Wedding,585482,4,No,Personal,585482,Partial
58,Self-Employed,20804,638,892363,Yes,Travel,377040,4,Yes,Personal,297644,Partial
51,Student,34357,836,688801,Yes,Medical,73682,10,Yes,Personal,73682,Approved
31,Self-Employed,38084,571,914161,No,Wedding,245440,8,No,Personal,245440,Partial
33,Business,32741,527,451561,No,Shopping,156694,25,Yes,Personal,156694,Partial
28,Student,66040,682,677256,No,Shopping,169781,20,No,Personal,169781,Partial
32,Student,91109,801,267173,Yes,Wedding,441439,10,Yes,Personal,441439,Approved
29,Business,35947,898,383299,Yes,Wedding,246187,16,No,Personal,246187,Partial
43,Salaried,26393,864,1079980,No,Emergency,794638,14,No,Personal,510375,Approved
22,Self-Employed,29006,637,372759,No,Shopping,585618,19,No,Personal,71186,Rejected
44,Salaried,64463,655,234782,Yes,Emergency,325581,10,Yes,Personal,325581,Partial
28,Self-Employed,44170,645,917931,Yes,Wedding,266995,20,Yes,Personal,39115,Rejected
55,Self-Employed,43070,674,580659,Yes,Medical,340794,5,No,Personal,19168,Rejected
41,Self-Employed,72159,619,583540,No,Medical,714406,13,No,Personal,714406,Partial
44,Business,122899,712,215332,No,Medical,610384,21,No,Personal,610384,Partial
34,Business,47143,671,293875,No,Medical,154411,11,Yes,Personal,154411,Approved
31,Business,34018,689,296641,No,Medical,736385,6,No,Personal,43391,Rejected
24,Business,73790,780,920162,Yes,Medical,273788,23,Yes,Personal,273788,Approved
54,Business,42793,616,905656,Yes,Wedding,451677,16,Yes,Personal,41071,Rejected
44,Student,45344,755,319584,Yes,Shopping,731595,17,Yes,Personal,731595,Approved
30,Business,64497,743,230690,Yes,Shopping,452686,25,Yes,Personal,452686,Partial
29,Self-Employed,22760,677,617522,Yes,Wedding,592899,22,No,Personal,7152,Rejected
36,Business,27899,677,168922,Yes,Wedding,455629,12,No,Personal,61736,Rejected
25,Salaried,20451,606,146812,No,Shopping,485612,17,No,Personal,70328,Rejected
55,Self-Employed,30155,526,345849,No,Travel,782614,13,Yes,Personal,769854,Partial
24,Self-Employed,34237,578,135403,No,Medical,63280,22,Yes,Personal,5680,Rejected
54,Student,24159,789,267582,Yes,Travel,599300,11,No,Personal,348626,Partial
25,Business,31800,572,369975,No,Medical,651790,6,No,Personal,5772,Rejected
21,Self-Employed,31926,620,395308,Yes,Wedding,387433,18,No,Personal,35554,Rejected
25,Student,42063,766,488052,Yes,Emergency,346020,13,Yes,Personal,346020,Approved
21,Student,38474,880,528735,No,Wedding,623108,12,No,Personal,623108,Partial
22,Self-Employed,40838,723,722582,Yes,Travel,158998,25,No,Personal,16122,Rejected
24,Self-Employed,53049,529,1110014,No,Emergency,139026,23,No,Personal,139026,Partial
46,Salaried,22040,617,516546,No,Emergency,784764,9,No,Personal,19578,Rejected
33,Self-Employed,69160,513,364719,No,Emergency,176601,15,No,Personal,176601,Partial
40,Business,23929,587,657985,Yes,Wedding,145643,7,No,Personal,1604,Rejected
40,Student,55698,551,968334,Yes,Medical,196583,4,No,Personal,14567,Rejected
29,Self-Employed,62198,886,196243,No,Medical,257356,3,Yes,Personal,257356,Approved
42,Salaried,35105,573,928394,No,Emergency,766400,16,Yes,Personal,598389,Partial
32,Student,48948,578,535448,No,Shopping,552300,16,No,Personal,552300,Partial
47,Self-Employed,76123,681,1160130,Yes,Emergency,620968,13,No,Personal,620968,Partial
41,Business,20854,629,81453,No,Shopping,424795,2,No,Personal,31608,Rejected
38,Salaried,57190,703,834581,No,Wedding,671301,6,Yes,Personal,671301,Approved
58,Salaried,61524,865,318010,Yes,Wedding,564259,16,No,Personal,564259,Partial
35,Salaried,20022,679,442501,Yes,Travel,112448,11,Yes,Personal,4641,Rejected
28,Student,128968,890,849624,Yes,Travel,193079,11,No,Personal,193079,Approved
52,Student,38414,878,768317,Yes,Emergency,371727,22,Yes,Personal,371727,Approved
57,Business,75259,729,401853,No,Shopping,159167,20,Yes,Personal,159167,Approved
36,Student,102006,743,724117,No,Wedding,311662,1,No,Personal,311662,Partial
21,Salaried,44005,622,888261,No,Shopping,443580,13,No,Personal,75766,Rejected
35,Self-Employed,46188,796,62106,No,Medical,408411,9,Yes,Personal,408411,Approved
25,Salaried,40107,728,924550,Yes,Wedding,106157,20,No,Personal,13411,Rejected
56,Student,59746,607,843975,No,Travel,54000,5,Yes,Personal,54000,Approved
59,Business,20843,682,631972,Yes,Travel,466774,16,Yes,Personal,347205,Partial
26,Business,49015,624,954858,Yes,Emergency,326195,9,No,Personal,326195,Partial
30,Salaried,31265,826,497128,Yes,Shopping,770442,13,No,Personal,492464,Partial
40,Salaried,47981,849,1103844,Yes,Wedding,225284,4,No,Personal,225284,Approved
48,Salaried,137068,706,330123,No,Medical,456951,11,Yes,Personal,456951,Approved
54,Business,81621,880,1115891,No,Wedding,205398,4,No,Personal,205398,Approved
27,Student,78841,653,573934,No,Shopping,688543,21,No,Personal,688543,Partial
30,Business,49149,897,518239,Yes,Travel,440532,24,No,Personal,440532,Partial
40,Student,78123,746,498061,Yes,Travel,332507,10,No,Personal,332507,Partial
49,Self-Employed,133369,853,804146,Yes,Medical,376236,17,Yes,Personal,376236,Approved
57,Salaried,48677,735,543219,Yes,Travel,788862,15,Yes,Personal,779210,Partial
53,Business,54060,782,801119,No,Wedding,547635,20,No,Personal,547635,Approved
37,Salaried,32666,573,469458,Yes,Wedding,332154,21,Yes,Personal,332154,Partial
21,Business,102702,723,489279,No,Travel,494393,20,No,Personal,494393,Partial
34,Business,37060,822,234564,Yes,Shopping,728787,17,No,Personal,16734,Rejected
42,Student,78230,684,646610,Yes,Medical,679180,5,Yes,Personal,679180,Approved
22,Business,114004,824,834271,Yes,Travel,798021,19,Yes,Personal,798021,Approved
51,Student,47702,584,1190731,Yes,Emergency,184159,10,Yes,Personal,184159,Partial
32,Student,57283,696,664004,No,Travel,664015,11,No,Personal,664015,Partial
24,Salaried,26374,712,820418,No,Wedding,194037,14,Yes,Personal,194037,Partial
50,Self-Employed,43451,510,1042531,No,Travel,715320,21,Yes,Personal,700142,Partial
31,Self-Employed,45020,754,929558,No,Emergency,451936,13,No,Personal,451936,Approved
44,Salaried,74801,769,57572,Yes,Wedding,777213,21,Yes,Personal,777213,Approved
53,Student,46995,537,976146,No,Travel,563989,14,Yes,Personal,563989,Approved
46,Salaried,43827,775,65955,Yes,Medical,443417,4,No,Personal,77846,Rejected
24,Salaried,50647,514,894041,No,Shopping,315015,13,Yes,Personal,315015,Approved
21,Student,23308,790,307652,No,Travel,169550,4,Yes,Personal,169550,Approved
37,Self-Employed,33426,606,1169530,No,Travel,295896,7,No,Personal,7237,Rejected
57,Business,22951,740,232421,No,Emergency,360401,21,Yes,Personal,22898,Rejected
23,Student,42176,695,263062,Yes,Medical,195117,25,Yes,Personal,195117,Partial
60,Student,53046,644,403504,Yes,Emergency,335037,13,No,Personal,335037,Partial
47,Self-Employed,42812,761,237502,No,Shopping,761346,19,No,Personal,671374,Partial
43,Salaried,78835,754,1033091,No,Emergency,98205,4,No,Personal,98205,Approved
54,Self-Employed,124342,689,219737,No,Emergency,412544,22,Yes,Personal,412544,Partial
60,Salaried,25142,661,1059841,Yes,Travel,302593,3,No,Personal,14595,Rejected
56,Business,27700,556,959730,Yes,Travel,174473,16,No,Personal,26439,Rejected
47,Salaried,20005,875,658788,Yes,Travel,430992,21,No,Personal,411510,Partial
42,Business,61905,750,224340,Yes,Travel,714441,1,No,Personal,27871,Rejected
23,Self-Employed,46930,825,244314,No,Wedding,176611,20,Yes,Personal,176611,Approved
33,Student,33581,581,278409,No,Emergency,54548,15,Yes,Personal,54548,Partial
58,Business,103227,765,289236,Yes,Shopping,453348,13,No,Personal,453348,Approved
36,Student,31234,836,299701,Yes,Shopping,379159,14,No,Personal,379159,Partial
39,Student,97390,887,392900,No,Travel,639593,23,Yes,Personal,639593,Approved
47,Student,63841,854,243284,Yes,Medical,752812,13,Yes,Personal,752812,Partial
31,Student,54799,897,638954,Yes,Travel,524579,25,Yes,Personal,524579,Approved
56,Self-Employed,68392,666,623221,Yes,Emergency,768430,13,No,Personal,768430,Partial
37,Self-Employed,75590,834,493009,No,Wedding,358467,25,Yes,Personal,358467,Approved
32,Self-Employed,53911,655,605340,No,Shopping,317403,5,Yes,Personal,317403,Partial
30,Salaried,30571,700,651567,No,Medical,792057,19,No,Personal,136473,Rejected
25,Self-Employed,37597,645,483885,Yes,Travel,428323,22,No,Personal,69533,Rejected
51,Salaried,31337,716,531342,Yes,Emergency,168881,22,No,Personal,1619,Rejected
54,Student,36670,606,641667,Yes,Medical,225526,11,Yes,Personal,41255,Rejected
34,Business,56737,690,932759,Yes,Medical,531532,24,Yes,Personal,531532,Partial
32,Student,38840,787,874867,No,Emergency,381773,15,No,Personal,381773,Partial
21,Salaried,69190,509,770151,Yes,Shopping,140707,10,No,Personal,140707,Partial
46,Salaried,37480,696,839970,No,Travel,760189,21,Yes,Personal,760189,Partial
56,Self-Employed,20164,651,1146489,Yes,Travel,272022,10,Yes,Personal,272022,Partial
30,Self-Employed,40214,770,260380,Yes,Shopping,533671,22,Yes,Personal,514151,Partial
27,Self-Employed,65965,812,288886,Yes,Shopping,123199,4,No,Personal,123199,Approved
60,Student,54994,647,683398,No,Travel,308133,6,Yes,Personal,308133,Approved
38,Student,44018,662,990663,No,Emergency,628469,12,No,Personal,110335,Rejected
38,Self-Employed,56437,714,180353,Yes,Shopping,657021,1,Yes,Personal,657021,Partial
23,Student,37684,700,331705,No,Shopping,355134,13,Yes,Personal,355134,Partial
46,Student,41714,704,367799,Yes,Wedding,643868,15,Yes,Personal,643868,Partial
43,Salaried,35979,634,794761,Yes,Shopping,428799,2,Yes,Personal,428799,Partial
23,Salaried,122477,566,593561,No,Emergency,735428,19,Yes,Personal,735428,Approved
25,Student,49728,652,760080,No,Shopping,56918,16,No,Personal,56918,Partial
53,Student,26124,577,268156,Yes,Medical,554906,14,No,Personal,84837,Rejected
47,Salaried,24190,621,302536,Yes,Medical,224421,19,Yes,Personal,224421,Partial
46,Salaried,73855,793,199827,Yes,Emergency,228852,15,No,Personal,228852,Partial
58,Self-Employed,66739,693,738633,No,Wedding,446583,20,Yes,Personal,446583,Approved
54,Business,69842,560,101865,Yes,Wedding,682789,3,No,Personal,113114,Rejected
54,Business,21423,830,501267,No,Travel,667661,25,No,Personal,428144,Partial
35,Salaried,48729,633,416405,Yes,Shopping,597923,23,Yes,Personal,597923,Partial
34,Student,23492,583,551906,No,Shopping,433405,18,No,Personal,26698,Rejected
47,Business,38320,633,663098,No,Wedding,741308,25,No,Personal,42413,Rejected
27,Self-Employed,45758,671,129162,Yes,Medical,202387,13,Yes,Personal,202387,Partial
25,Student,22622,819,860213,No,Wedding,721394,23,Yes,Personal,513713,Approved
54,Student,45688,667,505849,Yes,Travel,300878,22,Yes,Personal,300878,Partial
38,Business,32948,626,1105785,Yes,Medical,626289,24,Yes,Personal,580831,Partial
58,Student,46722,678,427948,No,Travel,233537,13,Yes,Personal,233537,Approved
53,Student,23834,786,1148065,No,Emergency,640525,23,No,Personal,523507,Approved
50,Business,78247,514,560687,Yes,Wedding,381067,13,Yes,Personal,381067,Approved
21,Student,23047,696,737211,Yes,Emergency,379119,18,Yes,Personal,335849,Partial
32,Self-Employed,26542,631,576595,Yes,Wedding,698645,8,Yes,Personal,324918,Partial
26,Business,75043,731,1031439,No,Emergency,652427,20,No,Personal,652427,Partial
53,Student,44581,607,1122547,No,Shopping,414158,16,Yes,Personal,414158,Partial
50,Salaried,65076,602,44788,Yes,Travel,429167,13,Yes,Personal,429167,Partial
38,Business,124971,664,909072,Yes,Travel,470051,14,No,Personal,470051,Partial
57,Self-Employed,73620,631,1184632,No,Wedding,206812,13,Yes,Personal,206812,Approved
52,Self-Employed,147766,641,1040516,No,Emergency,153782,9,Yes,Personal,153782,Approved
51,Salaried,30966,647,1195139,No,Emergency,177126,12,Yes,Personal,177126,Partial
33,Self-Employed,117305,687,1090479,No,Medical,449581,25,No,Personal,449581,Partial
31,Student,40064,709,169619,Yes,Wedding,378709,6,No,Personal,51833,Rejected
38,Business,61901,854,964323,No,Medical,181113,6,Yes,Personal,181113,Approved
26,Self-Employed,23375,560,1170148,Yes,Shopping,137295,1,No,Personal,21457,Rejected
45,Student,44169,681,285104,Yes,Medical,86862,17,Yes,Personal,86862,Partial
51,Business,115706,618,1150968,Yes,Shopping,506106,19,No,Personal,506106,Partial
35,Salaried,31985,620,656638,Yes,Travel,350692,1,Yes,Personal,350692,Partial
52,Business,45096,638,504893,Yes,Wedding,481736,18,No,Personal,481736,Partial
45,Business,22595,631,1103409,No,Emergency,247132,10,No,Personal,41739,Rejected
50,Business,40406,642,60675,Yes,Wedding,157241,2,Yes,Personal,23825,Rejected
21,Self-Employed,20482,644,901313,No,Emergency,780789,16,No,Personal,38296,Rejected
24,Student,52340,624,423056,No,Medical,799398,13,Yes,Personal,799398,Approved
